River,Lat,Long,Degrees,
Millecoquins,46.096174,-85.480604,"46°05'46.2""N 85°28'50.2""W",
Grand,43.057803,-86.255064,"43°03'28.1""N 86°15'18.2""W",
Cedar,45.410675,-87.351852,"45°24'38.4""N 87°21'06.7""W",
Whitefish,45.906907,-86.951142,"45°54'24.9""N 86°57'04.1""W",
Escanaba,45.777623,-87.058325,"45°46'39.4""N 87°03'30.0""W",
Menominee,45.095008,-87.592149,"45°05'42.0""N 87°35'31.7""W",
Peshtigo,44.975,-87.655552,"44°58'30.0""N 87°39'20.0""W",
Boardman,44.764984,-85.612798,"44°45'53.9""N 85°36'46.1""W",
Kewaunee,44.459797,-87.50025,"44°27'35.3""N 87°30'00.9""W",
Manistee,44.249848,-86.342385,"44°14'59.5""N 86°20'32.6""W",
Fox,44.538276,-88.005365,"44°32'17.8""N 88°00'19.3""W",
Pere Marquette,43.952353,-86.459944,"43°57'08.5""N 86°27'35.8""W",
Macatawa,42.773356,-86.213951,"42°46'24.1""N 86°12'50.2""W",
Oconto,44.894655,-87.829807,"44°53'40.8""N 87°49'47.3""W",
White,43.375288,-86.42627,"43°22'31.0""N 86°25'34.6""W",
Muskegon,43.228029,-86.339858,"43°13'40.9""N 86°20'23.5""W",
Kalamazoo,42.676424,-86.212194,"42°40'35.1""N 86°12'43.9""W",
Manistique,45.949167,-86.246124,"45°56'57.0""N 86°14'46.1""W",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
